date,Merchant,Barges,Other,Tugs,Tanker,Fishing,Pleasure Crafts,Excursion
2020-02-20,2021,73,8,360,645,98,28,0
2020-02-30,1850,67,25,295,692,90,39,0
2020-03-10,1982,48,4,257,707,70,48,10
2020-03-20,1987,63,16,324,675,61,43,17
2020-03-30,2441,82,7,305,718,87,26,5
2020-04-10,2745,87,5,407,721,119,21,1
2020-04-20,2930,89,5,356,735,71,29,0
2020-04-30,3050,61,17,319,840,108,30,0
2020-05-10,3170,94,2,318,834,120,22,0
2020-05-20,3256,106,5,334,846,221,20,5
2020-05-30,3465,78,16,348,899,200,22,3
2020-06-10,3022,91,4,320,733,206,26,7
2020-06-20,3183,107,5,360,783,169,28,3
2020-06-30,3034,73,11,365,831,183,48,22
2020-07-10,3255,70,2,367,795,172,46,187
2020-07-20,3168,102,12,336,795,152,73,209
2020-07-30,3738,83,17,469,894,188,114,258
2020-08-10,3387,74,1,362,758,158,69,279
2020-08-20,3455,109,14,364,689,180,85,242
2020-08-30,3815,119,23,387,875,215,72,307
2020-09-10,3390,78,2,341,858,194,58,224
2020-09-20,3518,105,3,342,858,169,68,213
2020-09-30,3646,113,0,286,777,197,45,126
2020-10-10,3571,110,1,308,767,196,34,62
2020-10-20,3651,95,7,308,719,173,21,37
2020-10-30,4225,94,1,384,776,230,14,33
2020-11-10,3547,120,11,320,663,182,15,7
2020-11-20,3861,124,10,303,771,184,19,0
2020-11-30,3940,113,18,288,702,161,11,1
2020-12-10,3831,109,2,254,704,132,10,0
2020-12-20,3704,85,15,239,733,92,10,1
2020-12-30,3462,35,0,229,793,58,11,0
2021-01-10,2817,52,0,215,619,58,10,0
2021-01-20,2503,93,6,252,603,124,16,0
2021-01-30,2363,76,12,249,575,91,25,0
2021-02-10,2026,85,4,223,525,67,12,0
2021-02-20,2003,70,14,243,614,71,11,0
2021-02-30,1545,83,6,166,448,48,12,2
2021-03-10,1985,96,11,256,619,72,10,2
2021-03-20,2188,51,11,218,674,65,13,1
2021-03-30,2705,120,6,291,703,100,11,5
2021-04-10,2677,80,17,311,740,125,13,9
2021-04-20,2973,73,1,271,750,113,11,19
2021-04-30,3092,95,21,241,786,131,17,7
2021-05-10,3294,85,4,268,737,114,30,51
2021-05-20,3303,96,4,247,759,134,57,52
2021-05-30,3524,82,26,248,811,176,86,104
2021-06-10,3275,114,13,269,781,159,39,107
2021-06-20,3197,94,9,312,849,142,53,219
2021-06-30,3165,90,19,285,848,148,52,259
